Row,Product ID,Name,Retailer,Product URL,Image URL,Description,Price,Category,Gender,Has Image,Has Description,Description Length
592,cmu5jmf5v00vyksb04x7mrfa7,"Wembley Stadium Tour & Meal for two","Virgin Experience",https://www.virginexperiencedays.co.uk/product/wembley-stadium-and-two-course-meal-at-big-moes-for-two,,"Occasion: Any occasion
Source: G",94,"Sport & Fitness > Football",UNISEX,No,No,32
593,cmu5jkfr600iyksb0kqbsxmdp,"Whisky and Beer Pairing Masterclass for Two at Brewhouse and Kitchen","Virgin Experience",https://www.virginexperiencedays.co.uk/product/whisky-and-beer-pairing-masterclass-for-two-at-brewhouse-and-kitchen,,"Experiences
Source: K",82.5,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,21
594,cmu5bzg08001aksb066iomnco,"Whisky and Beer Pairing Masterclass for Two at Brewhouse and Kitchen","Virgin Experience",https://www.virginexperiencedays.co.uk/product/whisky-and-beer-pairing-masterclass-for-two-at-brewhouse-and-kitchen,,"Experiences
Source: K",82.5,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,21
595,cmu5jkqmy00kwksb0jj9e8oc5,"Whisky Blending Experience","Class Bento",https://classbento.co.uk/whisky-blending-experience-london,,"Experience
Source: K",75,"Food & Drink > Spirits & Cocktails > Whisky",UNISEX,No,No,20
596,cmu5bzwq1003xksb0a2j6r2z8,"Whisky Blending Experience","Class Bento",https://classbento.co.uk/whisky-blending-experience-london,,"Experience
Source: K",75,"Food & Drink > Spirits & Cocktails > Whisky",UNISEX,No,No,20
597,cmu5jmecl00vsksb0hg9707ey,"Wilson Advantage 11 piece golf set - steel","Affordable Golf",https://www.affordablegolf.co.uk/products/wilson-x31-advantage-11-piece-stand-bag-package-set-steel,,"Occasion: Any occasion
Source: G",379,"Sport & Fitness > Golf",UNISEX,No,No,32
598,cmu5jkgap00j2ksb0lkwikyic,"Wine Bestsellers Mix","Laithwaites",https://www.laithwaites.co.uk/wine-subscriptions/bestsellers,,"Source: K",95.88,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
599,cmu5bzh14001gksb0wwea65md,"Wine Bestsellers Mix","Laithwaites",https://www.laithwaites.co.uk/wine-subscriptions/bestsellers,,"Source: K",95.88,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
600,cmu5jnrns012mksb0qhv0fjmx,"Wooden Shuffleboard & Puck 2 in 1 Game","Crafts 4 Kids",https://www.crafts4kids.co.uk/products/djeco-games-of-skill-pass-animo?variant=57100159713653,,"Source: K",26.5,"Children",FEMALE,No,No,9
601,cmu5jn53q0108ksb06sasdhfh,"Woody Interactive Talking Action Figure, Toy Story","Disney Store",https://www.disneystore.co.uk/woody-interactive-talking-action-figure-toy-story-417138061238.html,,"Source: K",37,"Children",MALE,No,No,9
602,cmu5jlbpw00oqksb0pagbj3w3,"Yema Urban Traveller Swiss","Time in Hand",https://www.timeinhand.co.uk/product-page/urban-traveller-swiss,,"Source: K",905,"Home, Style & Objects > Watches",MALE,No,No,9
603,cmu5c0s3u0090ksb0rj9pr5s9,"Yema Urban Traveller Swiss","Time in Hand",https://www.timeinhand.co.uk/product-page/urban-traveller-swiss,,"Source: K",905,"Home, Style & Objects > Watches",MALE,No,No,9
604,cmu5bzhjk001jksb03pmwcfjs,"Young wine carafe 25,4oz - 25,4o","Peugeot",https://uk.peugeot-saveurs.com/en/variation-young-wine-carafe-25-4oz-25-4oz.html,,"Source: K",99.99,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
605,cmu5jkgkf00j4ksb0nu23vrz1,"Young wine carafe 25,4oz - 25,4o","Peugeot",https://uk.peugeot-saveurs.com/en/variation-young-wine-carafe-25-4oz-25-4oz.html,,"Source: K",99.99,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
606,cmu5jmop100xlksb0hapmaql2,"Yuta Segawa Vase Extra Large","Heal's",https://www.heals.com/products/yuta-segawa-vase-extra-large?variant=53414781550925,,"Source: K",48,"Home and interiors",UNISEX,No,No,9
607,cmu5jl3hs00naksb090xl9phj,"Yves Saint Laurent Icons Routine Gift Set","Sephora",https://www.sephora.co.uk/p/yves-saint-laurent-icons-routine-gift-set?option=88943curr=GBP,,"Source: K",123,"Lifestyle & Wellbeing > Beauty & Skincare",FEMALE,No,No,9
608,cmu5c0h1b0077ksb0vko3x8fp,"Yves Saint Laurent Icons Routine Gift Set","Sephora",https://www.sephora.co.uk/p/yves-saint-laurent-icons-routine-gift-set?option=88943curr=GBP,,"Source: K",123,"Lifestyle & Wellbeing > Beauty & Skincare",FEMALE,No,No,9
609,cmu5jl08q00mmksb0yzix53wd,"Zafu Meditation Cushion, Blanket & Eye Pillow Kit","Yoga Matters",https://www.yogamatters.com/products/new-yogamatters-zafu-meditation-cushion-blanket-eye-pillow-kit?variant=44427108352175&currency=GBP,,"Source: K",81,"Lifestyle & Wellbeing > Spirituality",UNISEX,No,No,9
610,cmu5c0c6c006cksb0dnnuyx7o,"Zafu Meditation Cushion, Blanket & Eye Pillow Kit","Yoga Matters",https://www.yogamatters.com/products/new-yogamatters-zafu-meditation-cushion-blanket-eye-pillow-kit?variant=44427108352175&currency=GBP,,"Source: K",81,"Lifestyle & Wellbeing > Spirituality",UNISEX,No,No,9
611,cmu5jkgu400j6ksb0x5vtds65,"Zalto Burgundy Wine Glasses / Set of 2","Borough Kitchen",https://www.boroughkitchen.com/products/zalto-burgundy-wine-glasses-set-of-2?variant=41621419163780,,"Source: K",105,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
612,cmu5bzhsq001lksb02qb5z1dl,"Zalto Burgundy Wine Glasses / Set of 2","Borough Kitchen",https://www.boroughkitchen.com/products/zalto-burgundy-wine-glasses-set-of-2?variant=41621419163780,,"Source: K",105,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
613,cmu5jkjuk00jsksb0t2ty2acc,"ZENS Modern Glass Infuser Teapot, One Touch Tea Maker for Loose Leaf Tea with Insulated Mug and Portable Case. Enchanted Pot Alternatives for Tea Lover Gifts","Ubuy",https://www.u-buy.co.uk/product/LTHHL39LK-zens-modern-glass-infuser-teapot-one-touch-tea-maker-for-loose-leaf-tea-with-insulated-mug-and-portable-case-enchanted-pot-alternatives-for-tea,,"Source: K",40,"Food & Drink > Coffee & Tea",UNISEX,No,No,9
614,cmu5bznfc002hksb04oeostok,"ZENS Modern Glass Infuser Teapot, One Touch Tea Maker for Loose Leaf Tea with Insulated Mug and Portable Case. Enchanted Pot Alternatives for Tea Lover Gifts","Ubuy",https://www.u-buy.co.uk/product/LTHHL39LK-zens-modern-glass-infuser-teapot-one-touch-tea-maker-for-loose-leaf-tea-with-insulated-mug-and-portable-case-enchanted-pot-alternatives-for-tea,,"Source: K",40,"Food & Drink > Coffee & Tea",UNISEX,No,No,9
