ID,Index,Name,Category,Retailer,Price,Current Gender,Current Age Bands,Interest Tags
"cmu5jnbqj0114ksb06ev04l2i",44,"Double Dance Mat Dance Game","Children","The Range",24.99,"UNISEX","5-10; 11-17",""
"cmu5jne4f0117ksb09bs54sdw",45,"Ultimate Go Karting Race Experience","Children","TeamSport",30,"MALE","5-10; 11-17",""
"cmu5jnfbz0119ksb0dcazy4ge",46,"Hydraulic Robot Arm","Children","The Range",33.4,"MALE","5-10; 11-17",""
"cmu5jngns011cksb0p2c10c48",47,"Kids' Ages 8 to 12 Years Skateboard","Children","Decathlon",59.99,"MALE","5-10; 11-17",""
"cmu5jnh6t011eksb0dbgw3ogk",48,"Kids Interactive, Inflatable LED Punch Bag","Children","The Range",59.99,"MALE","5-10; 11-17",""
"cmu5jnhqh011gksb0gi84o6o9",49,"OXELO Kids' Scooter","Children","Decathlon",69.99,"MALE","5-10; 11-17",""
"cmu5jnizl011jksb0p1yrzqwz",50,"Spiekball Pro Set","Children","Lightning Sports",79.95,"MALE","5-10; 11-17",""
"cmu5jnjv3011lksb0rmqy7ahd",51,"Discovering Stem - Architecture Set","Children","The Range",99.99,"MALE","5-10; 11-17",""
"cmu5jnkh9011oksb0isheit1h",52,"Personalised Rag Doll, Brook","Children","Babyblooms",32,"FEMALE","18+",""
"cmu5jnl6l011qksb0m8t0spij",53,"Mini 3in1 Deluxe Ride On Scooter, Pink","Children","John Lewis",109.95,"FEMALE","18+",""
"cmu5jnlnm011sksb0tyvfw2cq",54,"Pokemon Pikachu 8" Plush Soft Toy","Children","John Lewis",13.99,"UNISEX","18+",""
"cmu5jnly1011uksb05ws4vtuf",55,"Peppa Pig Wooden Tea Party Set","Children","John Lewis",16.99,"FEMALE","18+",""
"cmu5jnma3011wksb0lipqngmh",56,"Djeco Musical Boxes - Melody of the Woods","Children","Crafts 4 Kids",24.5,"FEMALE","18+",""
"cmu5jnmx6011zksb09xbx8c01",57,"Liewood - Lennart Doctor Set","Children","No.14 Ampthill",28,"FEMALE","18+",""
"cmu5jnnhm0122ksb0gki4edfh",58,"Strawberry Basket Bag","Children","Meri  Meri",36,"FEMALE","18+",""
"cmu5jnnsk0124ksb0r8020rki",59,"Fairy Wings Costume","Children","Meri  Meri",30,"FEMALE","18+",""
"cmu5jno2n0126ksb05yhal8vg",60,"Bluey 3 in 1 Transforming Plane","Children","The Entertainer",45,"UNISEX","18+",""
"cmu5jnomr0128ksb04ohomgg4",61,"Bluey's Family House with Memory Game","Children","Lego",59.99,"FEMALE","18+",""
"cmu5jnpag012aksb0cdn5xz1f",62,"Djeco Wooden Toy Piano","Children","Crafts 4 Kids",76.49,"UNISEX","18+",""
"cmu5jnq4b012dksb0s5j6zhrr",63,"BANWOOD BALANCE BIKE FIRST GO VINTAGE - PINK","Children","Banwood",109,"FEMALE","18+",""
"cmu5jnqee012fksb0ebi0irxx",64,"Djeco Do It Yourself - Funky Family - 15 Magnets to Decorate","Children","Crafts 4 Kids",13.99,"FEMALE","18+",""
"cmu5jnqod012hksb0i8fp29nk",65,"Djeco Inspired By Frida Kahlo - 3D Pictures","Children","Crafts 4 Kids",15.75,"FEMALE","18+",""
"cmu5jnrbz012kksb07b3fnb0t",66,"Pink PAW Patrol Skye Backpack","Children","Next",21,"FEMALE","18+",""
"cmu5jnrns012mksb0qhv0fjmx",67,"Wooden Shuffleboard & Puck 2 in 1 Game","Children","Crafts 4 Kids",26.5,"FEMALE","18+",""
"cmu5jnsaa012pksb0oj4477ku",68,"Great Pretenders The 5th Avenue Paillette Cape","Children","Daisy Daisy",32,"FEMALE","18+",""
"cmu5jnvfq012sksb0n5tnbr8f",69,"Liewood Dante Silicone Beach Set","Children","Alf & Co",39,"UNISEX","18+",""
"cmu5jnx16012uksb0ozjhokkp",70,"Vtech Kidi® Dj Drums","Children","hamleys.com",59.99,"UNISEX","18+",""
"cmu5jnyby012wksb0t41nf8vu",71,"Vtech Kidizoom Printcam","Children","hamleys.com",79.99,"UNISEX","18+",""
"cmu5jnyn0012yksb02vx4u592",72,"EUGY Whale Shark - Kids Cardboard Craft Kit","Children","Crafts 4 Kids",6.99,"UNISEX","18+",""
"cmu5jo52f0130ksb0cz92lhwd",73,"Janod Kawaii Create Your Own Origami Boxes","Children","Crafts 4 Kids",8.5,"FEMALE","18+",""
"cmu5jo5fs0132ksb015b13hk0",74,"Moulin Roty Giant Soap Bubbles Set","Children","Crafts 4 Kids",29.99,"FEMALE","18+",""
"cmu5jo5pg0134ksb061i7n3a5",75,"K-Pop Demon Hunters HUNTR/X Rumi","Children","Very.co.uk",29.99,"FEMALE","18+",""
"cmu5jo6iw0137ksb07zj8rkwi",76,"KIDYKARAOKE Portable Karaoke Speaker Green by Kidywolf","Children","Little Concepts",64.98,"FEMALE","18+",""
"cmu5jo6sy0139ksb08ueu9s1h",77,"Power Pony Electric Ride On Princess","Children","Smyths Toys",399.99,"FEMALE","18+",""
"cmu5jo731013bksb0dbch1pkh",78,"Aerobie Pro Ring","Children","Oddballs",12.99,"UNISEX","5-10; 11-17",""
"cmu5jo7mu013eksb0vwovwpcs",79,"Quad Roller Skates","Children","Oli's Skate Shop",39.95,"FEMALE","5-10; 11-17",""
"cmu5jo87d013hksb0tzl02y4z",80,"Skate Lesson","Children","Bay Sixty56",49,"UNISEX","5-10; 11-17",""
"cmu5jo8hk013jksb08wpgcnsx",81,"OXELO Kids' Scooter","Children","Decathlon",69.99,"UNISEX","5-10; 11-17",""
"cmu5jo8rj013lksb03mv7r1yc",82,"The Craft Adventure Box","Children","thecraftadventurebox.com",20,"UNISEX","5-10; 11-17",""
"cmu5jo9bd013oksb0bxu9jtr4",83,"History Subscription Box for ages 6-11; learn through story driven adventures","Children","Mysteries in Time",15,"UNISEX","5-10; 11-17",""
